iter	Logloss
0	0.6921121541
1	0.6912874394
2	0.6902291048
3	0.6890972532
4	0.6878332771
5	0.686963609
6	0.6858846945
7	0.6849771992
8	0.6839609529
9	0.6831169069
10	0.6822839878
11	0.681900755
12	0.681053213
13	0.6800431049
14	0.6788977882
15	0.6778298532
16	0.6767207904
17	0.6751240151
18	0.6741126346
19	0.6732720359
20	0.6723239138
21	0.6713199333
22	0.670262912
23	0.669571513
24	0.6682455332
25	0.6674158413
26	0.6669135314
27	0.6664208104
28	0.6654223091
29	0.6645665078
30	0.6637416892
31	0.6628972375
32	0.6620522844
33	0.6612345442
34	0.6601263846
35	0.6593122213
36	0.6586193971
37	0.6578785851
38	0.6572564617
39	0.656585582
40	0.6557922066
41	0.6548369922
42	0.6540088223
43	0.6535172584
44	0.6526236404
45	0.6517880726
46	0.6514365163
47	0.6507375435
48	0.6502909602
49	0.6496262499
50	0.6487428658
51	0.6479655099
52	0.647388643
53	0.6465354485
54	0.6458391228
55	0.6453596147
56	0.6448247769
57	0.6438035684
58	0.643113175
59	0.6426233371
60	0.6417792519
61	0.6411619449
62	0.6402476783
63	0.6397994339
64	0.6391766056
65	0.6383411417
66	0.6374806445
67	0.6373571426
68	0.6367590092
69	0.6354533159
70	0.6347867758
71	0.6340422752
72	0.6338602272
73	0.6325410481
74	0.6314652101
75	0.6305812852
76	0.6298832632
77	0.6291066985
78	0.6284055557
79	0.6283602804
80	0.6277651065
81	0.6271229679
82	0.6263099939
83	0.6255941513
84	0.6247173555
85	0.6241879009
86	0.6236122518
87	0.6226470258
88	0.6220314606
89	0.6212549955
90	0.6205680329
91	0.6199223546
92	0.6191993787
93	0.6185558034
94	0.6177392919
95	0.6172691396
96	0.616560469
97	0.6154028199
98	0.6148928753
99	0.6141946112
100	0.6135368011
101	0.6125354863
102	0.6124134716
103	0.6115985765
104	0.6110584388
105	0.6106366354
106	0.6101658525
107	0.6097032576
108	0.6088208124
109	0.6081727964
110	0.6073391289
111	0.6066206472
112	0.605898106
113	0.6055397735
114	0.6050294552
115	0.6045526861
116	0.6038665923
117	0.602987031
118	0.6022597259
119	0.6018503532
120	0.6013209573
121	0.6007251054
122	0.6001365216
123	0.5995565699
124	0.598916559
125	0.5980671631
126	0.5971129797
127	0.5961736882
128	0.5958924257
129	0.5958469708
130	0.5955054501
131	0.595009572
132	0.5945008374
133	0.5939117326
134	0.5929787269
135	0.5921832426
136	0.5916995289
137	0.5911275089
138	0.5906737475
139	0.5901546115
140	0.5898145079
141	0.5891727363
142	0.5884672736
143	0.5876593375
144	0.5870490306
145	0.5864530213
146	0.5857703031
147	0.5851947974
148	0.5845529876
149	0.5843957371
150	0.5836712989
151	0.5832840971
152	0.5826344538
153	0.5819401383
154	0.5818936188
155	0.5812791355
156	0.5803179284
157	0.5796894252
158	0.5795031482
159	0.5788413789
160	0.578107207
161	0.5775754035
162	0.5770164274
163	0.5763275481
164	0.5757285315
165	0.5755846837
166	0.5749635961
167	0.574464669
168	0.5739803547
169	0.5735912303
170	0.5730945165
171	0.5726716347
172	0.5720742691
173	0.5717249595
174	0.5713264569
175	0.5705686508
176	0.5699389504
177	0.5692211222
178	0.5687570671
179	0.5684532168
180	0.567656082
181	0.567554296
182	0.5671114024
183	0.5667220891
184	0.5665666233
185	0.5660035022
186	0.5655247405
187	0.5650615927
188	0.5647739802
189	0.5643388527
190	0.5637631067
191	0.563155351
192	0.5629746615
193	0.5625490245
194	0.56209355
195	0.5614443676
196	0.5611270255
197	0.5604266613
198	0.5600713843
199	0.559492397
200	0.5590313292
201	0.558602644
202	0.558212881
203	0.5576607116
204	0.5571521124
205	0.5567075142
206	0.5564100881
207	0.5558667489
208	0.5554453642
209	0.5549702616
210	0.5544772556
211	0.5541466923
212	0.5536525595
213	0.5531355829
214	0.5525057712
215	0.551994652
216	0.5515237431
217	0.550889751
218	0.5502721495
219	0.5497323537
220	0.5492711261
221	0.5488127104
222	0.5483056224
223	0.5477777653
224	0.5472597985
225	0.5467984755
226	0.5464621535
227	0.5459266809
228	0.5455267651
229	0.5448479329
230	0.5444839825
231	0.5440304903
232	0.5434727765
233	0.5430628927
234	0.5425508104
235	0.5422983757
236	0.5417747003
237	0.541341805
238	0.5409026945
239	0.5404683922
240	0.5399730918
241	0.5396713738
242	0.5391969867
243	0.538792644
244	0.5383700763
245	0.5378925724
246	0.5375968654
247	0.537581569
248	0.5370744708
249	0.5365042107
250	0.5361352922
251	0.5356250448
252	0.5352390545
253	0.5347501339
254	0.534342488
255	0.5338552849
256	0.5335311878
257	0.5329668106
258	0.5326474856
259	0.5322977421
260	0.5319578248
261	0.5316372744
262	0.531351844
263	0.5313420754
264	0.5306002902
265	0.5299564868
266	0.5294470587
267	0.5290607693
268	0.5286744202
269	0.5279851669
270	0.5275574096
271	0.5270605045
272	0.5265433415
273	0.5262423072
274	0.5258696707
275	0.5253198118
276	0.5246980549
277	0.5243700812
278	0.5239802363
279	0.5237111616
280	0.5232215608
281	0.5229323816
282	0.5224912312
283	0.5219524903
284	0.5215101958
285	0.5212589556
286	0.5208478703
287	0.5204384755
288	0.5199974203
289	0.5197680373
290	0.5193900678
291	0.5192741923
292	0.5187720688
293	0.5183593599
294	0.5179556136
295	0.5176293018
296	0.5170963949
297	0.5164501044
298	0.5160504676
299	0.5158746886
300	0.5156549701
301	0.5153259742
302	0.515074867
303	0.5149364153
304	0.5145973772
305	0.5141632691
306	0.513646933
307	0.5131297313
308	0.512759679
309	0.512259538
310	0.5119476027
311	0.5115506178
312	0.5112280773
313	0.5108823446
314	0.5102951481
315	0.5100289725
316	0.5095444762
317	0.5092975637
318	0.5090228017
319	0.5088030228
320	0.5084512763
321	0.5081307142
322	0.5078210872
323	0.5076217376
324	0.5070791135
325	0.5068184109
326	0.5065693538
327	0.5062809887
328	0.5058390857
329	0.5054932449
330	0.5050170473
331	0.5048631874
332	0.5047705961
333	0.5047548178
334	0.5044921078
335	0.5042010885
336	0.5037584338
337	0.5032944933
338	0.5030438684
339	0.5028769851
340	0.5025209383
341	0.5018424229
342	0.5013308521
343	0.5009132475
344	0.5003278669
345	0.4996965673
346	0.4991002508
347	0.4988089366
348	0.4985965873
349	0.4984196107
350	0.4982006371
351	0.4978097754
352	0.4975321271
353	0.4972519836
354	0.4968607382
355	0.4965300518
356	0.496198759
357	0.4959231181
358	0.4955420451
359	0.495016411
360	0.4946224743
361	0.4942339669
362	0.4939566129
363	0.4937525955
364	0.4933433547
365	0.4931165835
366	0.4927023662
367	0.4924037838
368	0.4919280394
369	0.4916502225
370	0.4913804146
371	0.4909035517
372	0.4904686152
373	0.4902326188
374	0.4899665792
375	0.489608341
376	0.4892842842
377	0.4887788514
378	0.4884469552
379	0.487868658
380	0.4875084064
381	0.4872778073
382	0.4869656629
383	0.4865267056
384	0.4862357273
385	0.4856875889
386	0.4852254986
387	0.4851818056
388	0.4850896555
389	0.4846412843
390	0.4842283715
391	0.4839227804
392	0.4836284459
393	0.4833811138
394	0.4831865387
395	0.4827201165
396	0.4823172737
397	0.481886415
398	0.48157832
399	0.4812432879
400	0.4808532003
401	0.4804369581
402	0.4800631574
403	0.4797408118
404	0.4795886238
405	0.4793140135
406	0.4788876461
407	0.4788810977
408	0.4788561787
409	0.478555722
410	0.478165313
411	0.4777782354
412	0.4773836643
413	0.4770396911
414	0.476533628
415	0.4761780327
416	0.4757870754
417	0.4757825795
418	0.4756204516
419	0.4754174748
420	0.475362744
421	0.475096496
422	0.4746959598
423	0.4744837622
424	0.4738612021
425	0.4735472111
426	0.4733997008
427	0.473099732
428	0.4730867291
429	0.472756758
430	0.4725511632
431	0.4721933277
432	0.4718287191
433	0.4715660324
434	0.4711338
435	0.4706956468
436	0.470371825
437	0.4701566228
438	0.4696282084
439	0.4692461134
440	0.4688289319
441	0.4684864129
442	0.4680688226
443	0.4678786774
444	0.4677613315
445	0.4671632677
446	0.4668058118
447	0.4665400972
448	0.4661947254
449	0.4656270086
450	0.4653993971
451	0.4651055379
452	0.4648992198
453	0.4645009883
454	0.4641652338
455	0.4638849355
456	0.4634515158
457	0.463241542
458	0.4628801206
459	0.4625389155
460	0.4621971945
461	0.4618123044
462	0.4615173769
463	0.461179336
464	0.4608346451
465	0.4604722793
466	0.4602117505
467	0.4597245705
468	0.459322743
469	0.4588015608
470	0.4585745282
471	0.4583540685
472	0.4581353024
473	0.4581287608
474	0.4576682982
475	0.4574844063
476	0.4572660438
477	0.4570203835
478	0.4567592117
479	0.4564630896
480	0.4562109899
481	0.4559829819
482	0.45563321
483	0.455303828
484	0.4547973926
485	0.454477868
486	0.4541667663
487	0.4537974891
488	0.453560079
489	0.4532543895
490	0.452968353
491	0.4526641695
492	0.4523921294
493	0.4519569575
494	0.4516249913
495	0.4511534271
496	0.4509200147
497	0.4506214098
498	0.4506184744
499	0.4504469012
500	0.4501486597
501	0.4498650872
502	0.4496039985
503	0.4492810398
504	0.4489249098
505	0.4483014252
506	0.4480050715
507	0.4476290361
508	0.4474467523
509	0.4470494722
510	0.4467855871
511	0.4466014965
512	0.4465235278
513	0.4462543565
514	0.4460072253
515	0.4457425524
516	0.4454238368
517	0.4451904161
518	0.4448301353
519	0.4447536686
520	0.4444047007
521	0.4440283158
522	0.4436827898
523	0.4433310061
524	0.4430120729
525	0.4428021547
526	0.4426151312
527	0.4421402991
528	0.4418472819
529	0.441625061
530	0.4414867701
531	0.441142547
532	0.440616622
533	0.4403749819
534	0.4401710317
535	0.4398513168
536	0.4395046356
537	0.4392524125
538	0.4390124121
539	0.4388156019
540	0.4385595386
541	0.4384517503
542	0.4382504475
543	0.4380669877
544	0.4378894845
545	0.4376440823
546	0.4374714684
547	0.4372447805
548	0.4368779083
549	0.4366751232
550	0.436303806
551	0.4361285245
552	0.4359067277
553	0.4355996771
554	0.4353400787
555	0.4350437213
556	0.434737097
557	0.4344648402
558	0.4342094506
559	0.4339645218
560	0.4338537802
561	0.4335892534
562	0.4333760032
563	0.4330226666
564	0.4328375899
565	0.4325974741
566	0.4323719033
567	0.4321660337
568	0.431755841
569	0.4315314972
570	0.4311852088
571	0.4309108583
572	0.4305665881
573	0.4301451134
574	0.429814692
575	0.4296650054
576	0.4294378521
577	0.4290442616
578	0.4288751749
579	0.4287160612
580	0.4285489179
581	0.428388881
582	0.4281546974
583	0.4278396974
584	0.4275678437
585	0.4272533253
586	0.4270536824
587	0.4268910656
588	0.4266360674
589	0.4263645706
590	0.4260505671
591	0.4259648092
592	0.4257232195
593	0.4253660932
594	0.4251628837
595	0.4248373491
596	0.4247026288
597	0.4243806599
598	0.4242190208
599	0.4238411013
600	0.4236675083
601	0.4236319088
602	0.4232799118
603	0.4232764465
604	0.4230086176
605	0.4229574413
606	0.4226105937
607	0.4223412316
608	0.4221171279
609	0.4219390731
610	0.4215360055
611	0.421324919
612	0.4212060984
613	0.4209332047
614	0.420761302
615	0.4202559724
616	0.4199874364
617	0.4198385673
618	0.4195015768
619	0.4193025884
620	0.4191398525
621	0.4188004886
622	0.4183976916
623	0.4179980435
624	0.4178770699
625	0.4175705267
626	0.4173767151
627	0.4170671282
628	0.4167217692
629	0.4164991961
630	0.4161659627
631	0.4158678397
632	0.4155609614
633	0.4151305512
634	0.4148086226
635	0.4147944679
636	0.4146731457
637	0.4145026772
638	0.4143479346
639	0.4141975806
640	0.4139562981
641	0.4135806869
642	0.413294945
643	0.4129780562
644	0.41265449
645	0.4124744063
646	0.4122618701
647	0.4119401848
648	0.4117399728
649	0.4115514936
650	0.4110516593
651	0.4107330022
652	0.4105926606
653	0.4103766367
654	0.4100659255
655	0.4097352467
656	0.4093945448
657	0.4091830386
658	0.4089983476
659	0.4087124288
660	0.4083483116
661	0.4079631839
662	0.4077078321
663	0.4075604254
664	0.4072670892
665	0.407261128
666	0.4070705859
667	0.4068143498
668	0.4065422926
669	0.4063095608
670	0.4061034331
671	0.4058263055
672	0.4056916582
673	0.4055676763
674	0.4053272589
675	0.4051089248
676	0.4048837718
677	0.4045766441
678	0.4042386917
679	0.4038960642
680	0.4036654939
681	0.4034255566
682	0.4031247867
683	0.4029806221
684	0.4028443552
685	0.402583258
686	0.402336865
687	0.4019286821
688	0.4017796635
689	0.4014616834
690	0.4012643563
691	0.4008356789
692	0.4006659622
693	0.400498411
694	0.4003434628
695	0.4000463447
696	0.3997603346
697	0.3993186275
698	0.3991444771
699	0.3989535067
700	0.3987296895
701	0.3984766399
702	0.398147815
703	0.3978117242
704	0.3976166202
705	0.3974350042
706	0.397232761
707	0.3970495404
708	0.3967675021
709	0.3966852143
710	0.3964646987
711	0.3962072204
712	0.3960425811
713	0.3958723862
714	0.3956016824
715	0.3954913836
716	0.3952129404
717	0.3950815354
718	0.3949494038
719	0.3947467293
720	0.3946754672
721	0.3945160019
722	0.3943081929
723	0.3941069585
724	0.3939487379
725	0.3937101492
726	0.3934343962
727	0.3933357121
728	0.3931952843
729	0.3930240266
730	0.3928566587
731	0.3926541287
732	0.3925509965
733	0.3924221771
734	0.3921945433
735	0.3917025766
736	0.3915666699
737	0.3913900112
738	0.3911986157
739	0.3910384858
740	0.3907215362
741	0.3904812827
742	0.390177852
743	0.3899352242
744	0.3896578102
745	0.389465166
746	0.3891700349
747	0.3889163571
748	0.3887497777
749	0.3885672593
750	0.3883807826
751	0.3879541031
752	0.3877146188
753	0.3874157758
754	0.387141844
755	0.3868798051
756	0.38661084
757	0.3864662387
758	0.3863366431
759	0.3862278838
760	0.3858554458
761	0.3855886659
762	0.3852768432
763	0.3851408576
764	0.3850392212
765	0.3847082576
766	0.3845425821
767	0.3844127203
768	0.3842078587
769	0.3840925938
770	0.3839126639
771	0.3836925168
772	0.383388821
773	0.3831040411
774	0.3828427873
775	0.3826325759
776	0.3824368461
777	0.3821233587
778	0.3819635056
779	0.3818304702
780	0.3818148456
781	0.3818124828
782	0.3816311247
783	0.3814016557
784	0.3811463547
785	0.3810086277
786	0.3808362573
787	0.3807166351
788	0.3805255455
789	0.3803118809
790	0.3800337416
791	0.3798698072
792	0.379624659
793	0.3794039659
794	0.3790283153
795	0.3788309983
796	0.3785853588
797	0.3783681527
798	0.3781241934
799	0.3781219309
800	0.3779021076
801	0.3777616494
802	0.3775609642
803	0.3773174721
804	0.3770396385
805	0.3768649765
806	0.3766080326
807	0.3764633525
808	0.3760974269
809	0.3759020184
810	0.3754848108
811	0.3753437425
812	0.3749916264
813	0.3747868513
814	0.3746008341
815	0.3744779505
816	0.3741313594
817	0.3739422534
818	0.3738097496
819	0.3737234361
820	0.3734852336
821	0.373074224
822	0.3728821852
823	0.3725914215
824	0.3724643971
825	0.3720715957
826	0.3718121626
827	0.3715937165
828	0.371424396
829	0.3712854675
830	0.3711662859
831	0.3710284907
832	0.3708257137
833	0.3705739839
834	0.3703899698
835	0.3700614694
836	0.3698795114
837	0.3696431071
838	0.3695481101
839	0.3692748083
840	0.3691136218
841	0.3688983143
842	0.3686442732
843	0.3684196938
844	0.3680388803
845	0.3677898975
846	0.367547514
847	0.3674988246
848	0.3673464922
849	0.367214638
850	0.3670456394
851	0.3668445277
852	0.3665836382
853	0.366190828
854	0.366049099
855	0.3659403458
856	0.3657246018
857	0.3655807397
858	0.3655016896
859	0.3654058403
860	0.3653281071
861	0.3651382399
862	0.3650081596
863	0.3648588894
