iter	Passed	Remaining
0	3	3973
1	7	3887
2	10	3577
3	14	3643
4	18	3596
5	21	3610
6	25	3584
7	27	3384
8	29	3292
9	33	3324
10	37	3368
11	38	3206
12	41	3118
13	42	3022
14	44	2937
15	47	2943
16	51	2985
17	55	3024
18	59	3075
19	61	3014
20	66	3078
21	68	3061
22	72	3066
23	75	3088
24	78	3073
25	81	3062
26	85	3072
27	89	3095
28	92	3093
29	95	3087
30	98	3070
31	101	3069
32	103	3046
33	106	3033
34	108	2995
35	111	2978
36	115	2994
37	117	2987
38	120	2980
39	125	3000
40	130	3042
41	132	3013
42	136	3027
43	139	3025
44	143	3035
45	145	3014
46	149	3028
47	153	3039
48	157	3049
49	160	3054
50	164	3058
51	167	3049
52	171	3057
53	175	3069
54	178	3072
55	182	3080
56	186	3088
57	189	3084
58	193	3083
59	197	3088
60	201	3095
61	204	3091
62	208	3105
63	212	3110
64	216	3113
65	220	3114
66	224	3120
67	227	3113
68	231	3124
69	234	3121
70	239	3134
71	243	3138
72	246	3124
73	249	3126
74	253	3128
75	258	3139
76	262	3141
77	265	3143
78	270	3151
79	272	3131
80	275	3130
81	279	3133
82	283	3131
83	288	3141
84	291	3138
85	295	3138
86	299	3138
87	303	3145
88	307	3145
89	311	3145
90	315	3147
91	319	3148
92	323	3153
93	327	3154
94	331	3162
95	335	3159
96	339	3157
97	343	3158
98	346	3157
99	350	3156
100	354	3158
101	358	3158
102	360	3143
103	365	3147
104	369	3147
105	373	3153
106	377	3153
107	382	3161
108	386	3161
109	390	3160
110	395	3165
111	399	3165
112	403	3164
113	407	3163
114	411	3163
115	414	3160
116	418	3158
117	422	3160
118	426	3158
119	430	3158
120	434	3156
121	438	3156
122	442	3154
123	446	3153
124	450	3151
125	454	3149
126	458	3148
127	461	3146
128	464	3136
129	466	3123
130	470	3122
131	474	3121
132	478	3119
133	482	3118
134	486	3115
135	490	3114
136	494	3112
137	497	3109
138	502	3111
139	506	3109
140	509	3102
141	513	3104
142	517	3099
143	521	3098
144	525	3096
145	528	3093
146	532	3091
147	536	3089
148	540	3087
149	542	3075
150	546	3073
151	550	3071
152	554	3069
153	558	3068
154	560	3057
155	564	3055
156	569	3055
157	572	3053
158	577	3052
159	581	3051
160	585	3048
161	588	3045
162	592	3043
163	596	3042
164	601	3042
165	604	3038
166	608	3036
167	612	3034
168	616	3033
169	621	3032
170	624	3029
171	629	3027
172	633	3026
173	637	3024
174	641	3023
175	645	3023
176	649	3020
177	653	3018
178	658	3019
179	662	3017
180	666	3014
181	669	3010
182	673	3008
183	678	3007
184	680	2999
185	684	2996
186	688	2994
187	694	2998
188	698	2996
189	702	2993
190	706	2993
191	710	2991
192	713	2985
193	717	2982
194	722	2980
195	726	2979
196	731	2979
197	734	2976
198	738	2973
199	742	2970
200	746	2967
201	750	2964
202	754	2961
203	758	2958
204	761	2954
205	766	2953
206	769	2949
207	774	2947
208	778	2944
209	781	2941
210	786	2939
211	790	2936
212	794	2934
213	798	2931
214	801	2927
215	806	2927
216	810	2924
217	813	2918
218	818	2918
219	822	2915
220	826	2913
221	830	2910
222	834	2908
223	838	2905
224	842	2901
225	846	2898
226	850	2894
227	854	2892
228	858	2890
229	862	2888
230	866	2886
231	870	2880
232	874	2877
233	877	2873
234	881	2869
235	884	2861
236	886	2854
237	890	2850
238	894	2847
239	898	2845
240	901	2837
241	904	2832
242	907	2828
243	911	2823
244	914	2816
245	917	2812
246	921	2809
247	923	2799
248	926	2794
249	929	2787
250	932	2782
251	936	2779
252	939	2775
253	941	2766
254	944	2758
255	947	2754
256	951	2750
257	955	2747
258	959	2743
259	962	2739
260	966	2735
261	969	2731
262	973	2726
263	973	2715
264	976	2709
265	980	2706
266	984	2703
267	988	2699
268	992	2695
269	995	2691
270	999	2687
271	1003	2686
272	1007	2682
273	1011	2680
274	1015	2677
275	1019	2673
276	1023	2670
277	1027	2667
278	1030	2664
279	1034	2661
280	1038	2657
281	1041	2652
282	1046	2650
283	1049	2646
284	1053	2643
285	1057	2640
286	1061	2638
287	1064	2632
288	1068	2628
289	1072	2625
290	1076	2623
291	1079	2618
292	1084	2617
293	1088	2614
294	1092	2611
295	1096	2606
296	1099	2603
297	1103	2600
298	1107	2597
299	1111	2594
300	1115	2591
301	1120	2589
302	1124	2585
303	1127	2580
304	1130	2576
305	1134	2573
306	1138	2569
307	1141	2565
308	1145	2562
309	1149	2559
310	1153	2555
311	1158	2553
312	1162	2550
313	1166	2548
314	1171	2546
315	1174	2541
316	1178	2538
317	1183	2538
318	1187	2535
319	1191	2532
320	1195	2528
321	1199	2526
322	1204	2524
323	1208	2522
324	1213	2519
325	1216	2515
326	1220	2512
327	1224	2509
328	1228	2505
329	1232	2501
330	1236	2498
331	1240	2495
332	1242	2489
333	1245	2482
334	1249	2479
335	1252	2476
336	1256	2472
337	1260	2468
338	1264	2465
339	1268	2463
340	1273	2460
341	1276	2456
342	1281	2453
343	1286	2453
344	1291	2451
345	1295	2449
346	1299	2446
347	1304	2443
348	1307	2439
349	1311	2436
350	1315	2432
351	1320	2430
352	1324	2426
353	1328	2423
354	1332	2420
355	1336	2417
356	1340	2414
357	1344	2411
358	1348	2407
359	1352	2404
360	1356	2400
361	1360	2398
362	1364	2394
363	1368	2391
364	1372	2387
365	1376	2384
366	1380	2381
367	1384	2377
368	1388	2374
369	1392	2370
370	1396	2367
371	1400	2364
372	1404	2360
373	1408	2356
374	1412	2353
375	1416	2350
376	1420	2346
377	1424	2343
378	1427	2339
379	1431	2335
380	1435	2331
381	1439	2328
382	1443	2325
383	1447	2322
384	1451	2319
385	1455	2315
386	1459	2312
387	1462	2306
388	1465	2301
389	1469	2298
390	1473	2295
391	1477	2291
392	1482	2289
393	1485	2285
394	1490	2283
395	1494	2279
396	1499	2276
397	1503	2273
398	1506	2269
399	1510	2266
400	1514	2262
401	1519	2260
402	1523	2256
403	1527	2253
404	1531	2249
405	1534	2245
406	1538	2241
407	1540	2235
408	1543	2229
409	1547	2226
410	1551	2223
411	1555	2220
412	1559	2217
413	1563	2213
414	1568	2211
415	1573	2208
416	1578	2206
417	1580	2200
418	1584	2197
419	1588	2193
420	1591	2189
421	1595	2185
422	1599	2182
423	1603	2178
424	1607	2175
425	1611	2171
426	1615	2168
427	1619	2164
428	1621	2158
429	1625	2154
430	1629	2151
431	1633	2148
432	1638	2144
433	1641	2141
434	1645	2137
435	1650	2134
436	1654	2130
437	1657	2127
438	1662	2123
439	1665	2119
440	1669	2116
441	1673	2112
442	1677	2109
443	1682	2106
444	1685	2101
445	1689	2098
446	1693	2095
447	1697	2091
448	1701	2088
449	1705	2085
450	1709	2080
451	1713	2077
452	1717	2074
453	1721	2070
454	1725	2066
455	1729	2063
456	1733	2059
457	1737	2055
458	1741	2052
459	1745	2048
460	1748	2044
461	1752	2040
462	1756	2036
463	1761	2034
464	1765	2030
465	1769	2027
466	1773	2023
467	1777	2020
468	1780	2016
469	1784	2012
470	1788	2009
471	1793	2005
472	1797	2002
473	1798	1996
474	1802	1992
475	1806	1988
476	1810	1984
477	1814	1981
478	1818	1977
479	1822	1974
480	1827	1971
481	1830	1967
482	1835	1964
483	1839	1960
484	1842	1956
485	1847	1953
486	1851	1949
487	1855	1946
488	1859	1942
489	1863	1939
490	1867	1935
491	1871	1932
492	1876	1929
493	1880	1925
494	1884	1922
495	1888	1919
496	1892	1914
497	1895	1910
498	1897	1905
499	1901	1901
500	1906	1898
501	1910	1894
502	1914	1891
503	1917	1887
504	1921	1883
505	1925	1880
506	1929	1876
507	1934	1873
508	1938	1870
509	1942	1866
510	1946	1862
511	1950	1859
512	1953	1854
513	1957	1850
514	1961	1847
515	1965	1843
516	1970	1840
517	1974	1837
518	1978	1833
519	1981	1829
520	1985	1825
521	1989	1821
522	1993	1818
523	1997	1814
524	2001	1811
525	2005	1807
526	2009	1803
527	2013	1800
528	2017	1796
529	2021	1792
530	2026	1790
531	2030	1785
532	2034	1782
533	2038	1779
534	2042	1775
535	2046	1771
536	2050	1768
537	2054	1764
538	2058	1760
539	2062	1757
540	2066	1753
541	2070	1749
542	2074	1745
543	2078	1741
544	2082	1738
545	2086	1735
546	2090	1730
547	2094	1727
548	2099	1724
549	2103	1720
550	2107	1717
551	2111	1713
552	2115	1710
553	2118	1705
554	2122	1701
555	2126	1698
556	2130	1694
557	2134	1690
558	2138	1686
559	2142	1683
560	2145	1679
561	2149	1675
562	2154	1672
563	2159	1669
564	2163	1665
565	2167	1662
566	2171	1658
567	2175	1654
568	2179	1650
569	2183	1647
570	2187	1643
571	2191	1639
572	2195	1635
573	2199	1632
574	2203	1628
575	2206	1624
576	2211	1620
577	2215	1617
578	2219	1613
579	2223	1610
580	2227	1606
581	2231	1602
582	2235	1598
583	2239	1595
584	2243	1591
585	2247	1587
586	2251	1583
587	2255	1580
588	2259	1576
589	2263	1573
590	2268	1569
591	2272	1565
592	2275	1562
593	2279	1557
594	2283	1554
595	2287	1550
596	2292	1547
597	2297	1544
598	2301	1540
599	2304	1536
600	2308	1532
601	2311	1528
602	2315	1524
603	2317	1519
604	2321	1515
605	2324	1511
606	2328	1507
607	2332	1503
608	2336	1499
609	2340	1496
610	2344	1492
611	2348	1489
612	2353	1485
613	2357	1482
614	2361	1478
615	2366	1475
616	2371	1471
617	2375	1468
618	2378	1464
619	2383	1460
620	2387	1456
621	2391	1453
622	2395	1449
623	2399	1445
624	2404	1442
625	2408	1438
626	2412	1435
627	2416	1431
628	2420	1427
629	2424	1424
630	2428	1420
631	2434	1417
632	2438	1413
633	2442	1409
634	2446	1406
635	2449	1401
636	2453	1398
637	2457	1394
638	2461	1390
639	2465	1386
640	2469	1383
641	2474	1379
642	2478	1375
643	2481	1372
644	2486	1368
645	2490	1364
646	2494	1360
647	2498	1357
648	2502	1353
649	2506	1349
650	2510	1345
651	2514	1341
652	2518	1338
653	2521	1334
654	2526	1330
655	2530	1327
656	2534	1323
657	2538	1319
658	2542	1315
659	2546	1311
660	2550	1308
661	2554	1304
662	2558	1300
663	2562	1296
664	2566	1293
665	2569	1288
666	2573	1284
667	2577	1280
668	2581	1277
669	2585	1273
670	2589	1269
671	2593	1265
672	2597	1262
673	2601	1258
674	2605	1254
675	2610	1251
676	2614	1247
677	2618	1243
678	2622	1239
679	2626	1236
680	2630	1232
681	2634	1228
682	2638	1224
683	2642	1220
684	2645	1216
685	2649	1212
686	2653	1208
687	2657	1205
688	2661	1201
689	2665	1197
690	2668	1193
691	2673	1190
692	2677	1186
693	2681	1182
694	2686	1178
695	2690	1175
696	2694	1171
697	2698	1167
698	2702	1163
699	2706	1159
700	2710	1155
701	2714	1152
702	2718	1148
703	2722	1144
704	2726	1140
705	2731	1137
706	2735	1133
707	2739	1129
708	2744	1126
709	2746	1122
710	2750	1118
711	2754	1114
712	2758	1110
713	2763	1107
714	2767	1103
715	2772	1099
716	2776	1095
717	2780	1092
718	2784	1088
719	2788	1084
720	2793	1080
721	2797	1077
722	2802	1073
723	2805	1069
724	2810	1066
725	2814	1062
726	2818	1058
727	2822	1054
728	2826	1050
729	2830	1046
730	2835	1043
731	2839	1039
732	2842	1035
733	2847	1031
734	2852	1028
735	2855	1024
736	2861	1021
737	2865	1017
738	2870	1013
739	2874	1009
740	2879	1006
741	2883	1002
742	2887	998
743	2891	995
744	2896	991
745	2900	987
746	2904	983
747	2908	979
748	2912	975
749	2916	972
750	2920	968
751	2924	964
752	2927	960
753	2931	956
754	2936	952
755	2940	948
756	2944	945
757	2948	941
758	2951	937
759	2955	933
760	2959	929
761	2963	925
762	2967	921
763	2971	917
764	2975	914
765	2979	910
766	2983	906
767	2987	902
768	2991	898
769	2995	894
770	2999	890
771	3003	886
772	3007	883
773	3011	879
774	3014	875
775	3019	871
776	3023	867
777	3027	863
778	3031	860
779	3035	856
780	3037	851
781	3039	847
782	3043	843
783	3047	839
784	3051	835
785	3055	831
786	3059	828
787	3063	824
788	3067	820
789	3071	816
790	3075	812
791	3079	808
792	3083	804
793	3087	801
794	3091	797
795	3095	793
796	3100	789
797	3104	785
798	3108	781
799	3109	777
800	3113	773
801	3117	769
802	3121	765
803	3125	761
804	3129	758
805	3133	754
806	3137	750
807	3141	746
808	3145	742
809	3149	738
810	3153	734
811	3157	731
812	3161	727
813	3165	723
814	3169	719
815	3173	715
816	3177	711
817	3181	707
818	3185	703
819	3188	699
820	3192	696
821	3196	692
822	3200	688
823	3204	684
824	3208	680
825	3212	676
826	3216	672
827	3220	668
828	3224	665
829	3228	661
830	3232	657
831	3236	653
832	3240	649
